"ID","MC_SCIMAT","Assig2_10p","Assig1_Report_6p","Assig1_Comp_4p","total_assig_20","Exam_80","Final","Proj_alloc","Total_100","Q1_p2","Q2_p2","Q3_p2","Q4_p2","Q5_p2","Q6_p6_t","Q6_p2_A","Q6_p2_B","Q6_p2_C","Q7_p5_t","Q7_p3_A","Q7_p2_B","Q8_p6_t","Q8_p1_A","Q8_p1_B","Q8_p2_C","Q8_p2_D","Q10_p10_t","Q10_p3_A","Q10_p7_B","Q15_p8_t","Q15_p4_A","Q15_p4_B","Q16_p4_t","Q16_p2_A","Q16_p2_B","TotalNotComp_51","TotalComp_49","ClassQ_12","RegQ_26","ClassRegQ_11","ptq_class","ptq_reg","ptq_class_reg","ptq_noncompq","pte_class","pte_reg","pte_class_reg","pte_noncompq","ptq_class_Q1","ptq_class_Q10","ptq_reg_Q5","ptq_reg_Q6","ptq_reg_Q8","ptq_reg_Q15","ptq_reg_Q16","ptq_classreg_Q2","ptq_classreg_Q3","ptq_classreg_Q4","ptq_classreg_Q7","pte_class_Q1","pte_class_Q10","pte_reg_Q5","pte_reg_Q6","pte_reg_Q8","pte_reg_Q15","pte_reg_Q16","pte_classreg_Q2","pte_classreg_Q3","pte_classreg_Q4","pte_classreg_Q7","TeamName","numsub","PrivetScore"
8301,0,8.3,3.5,2.9,14.7,87.5,84.7,"Melbourne Price",87.5,2,0,2,0,2,4.5,1.5,2,1,5,3,2,6,1,1,2,2,7,0,7,7,4,3,4,2,2,48,39.5,9,23.5,7,0.75,0.903846153846154,0.636363636363636,0.941176470588235,0.102857142857143,0.268571428571429,0.08,0.548571428571429,1,0.7,1,0.75,1,0.875,1,0,1,0,1,0.0228571428571429,0.08,0.0228571428571429,0.0514285714285714,0.0685714285714286,0.08,0.0457142857142857,0,0.0228571428571429,0,0.0571428571428571,"Hui Dek Tai",5,123045.62445
8302,1,4.6,6,2.7,13.3,74.5,72.9,"Spam classification",74.5,2,0,2,0,2,4.5,1.5,2,1,4,3,1,6,1,1,2,2,8,3,5,8,4,4,4,2,2,34,40.5,10,24.5,6,0.833333333333333,0.942307692307692,0.545454545454545,0.666666666666667,0.134228187919463,0.328859060402685,0.0805369127516778,0.456375838926175,1,0.8,1,0.75,1,1,1,0,1,0,0.8,0.0268456375838926,0.10738255033557,0.0268456375838926,0.0604026845637584,0.0805369127516778,0.10738255033557,0.0536912751677852,0,0.0268456375838926,0,0.0536912751677852,"LarryBird",2,87
8303,1,9.1,6,4,19.1,69.5,74.7,"Melbourne Price",69.5,2,0,0,0,2,5.5,2,2,1.5,5,3,2,5,1,1,1,2,5,0,5,8,4,4,4,2,2,33,36.5,7,24.5,5,0.583333333333333,0.942307692307692,0.454545454545455,0.647058823529412,0.100719424460432,0.352517985611511,0.0719424460431655,0.474820143884892,1,0.5,1,0.916666666666667,0.833333333333333,1,1,0,0,0,1,0.0287769784172662,0.0719424460431655,0.0287769784172662,0.079136690647482,0.0719424460431655,0.115107913669065,0.0575539568345324,0,0,0,0.0719424460431655,"Meirian Lovelace-Tozer",8,113262.94105
8304,0,10,5,2.5,17.5,67,71.1,"Melbourne Price",67,2,0,0,0,2,4.5,1.5,2,1,4,2,2,4,1,1,0,2,2,0,2,8,4,4,4,2,2,36.5,30.5,4,22.5,4,0.333333333333333,0.865384615384615,0.363636363636364,0.715686274509804,0.0597014925373134,0.335820895522388,0.0597014925373134,0.544776119402985,1,0.2,1,0.75,0.666666666666667,1,1,0,0,0,0.8,0.0298507462686567,0.0298507462686567,0.0298507462686567,0.0671641791044776,0.0597014925373134,0.119402985074627,0.0597014925373134,0,0,0,0.0597014925373134,"nancy1234567",5,138174.76865
8305,0,0,4,3,7,56.5,52.2,"Spam classification",56.5,2,0,2,0,2,4.5,1.5,2,1,4,2,2,5,1,1,2,1,6,3,3,8,4,4,3,1,2,20,36.5,8,22.5,6,0.666666666666667,0.865384615384615,0.545454545454545,0.392156862745098,0.141592920353982,0.398230088495575,0.106194690265487,0.353982300884956,1,0.6,1,0.75,0.833333333333333,1,0.75,0,1,0,0.8,0.0353982300884956,0.106194690265487,0.0353982300884956,0.079646017699115,0.0884955752212389,0.141592920353982,0.0530973451327434,0,0.0353982300884956,0,0.0707964601769911,"Michael_Tran",2,81
8306,0,9.4,5.5,3,17.9,76,78.7,"Spam classification",76,2,2,2,0,0,4.5,1.5,2,1,5,3,2,6,1,1,2,2,5,3,2,8,4,4,4,2,2,37.5,38.5,7,22.5,9,0.583333333333333,0.865384615384615,0.818181818181818,0.735294117647059,0.0921052631578947,0.296052631578947,0.118421052631579,0.493421052631579,1,0.5,1,0.75,1,1,1,1,1,0,1,0.0263157894736842,0.0657894736842105,0.0263157894736842,0.0592105263157895,0.0789473684210526,0.105263157894737,0.0526315789473684,0.0263157894736842,0.0263157894736842,0,0.0657894736842105,"Chris",3,90
8307,0,8.4,3,3.5,14.9,72.5,72.9,"Melbourne Price",72.5,2,2,2,0,2,4,2,1,1,5,3,2,6,1,1,2,2,6,3,3,8,4,4,2,0,2,33.5,39,8,22,9,0.666666666666667,0.846153846153846,0.818181818181818,0.656862745098039,0.110344827586207,0.303448275862069,0.124137931034483,0.462068965517241,1,0.6,1,0.666666666666667,1,1,0.5,1,1,0,1,0.0275862068965517,0.0827586206896552,0.0275862068965517,0.0551724137931034,0.0827586206896552,0.110344827586207,0.0275862068965517,0.0275862068965517,0.0275862068965517,0,0.0689655172413793,"Adrian Cheung",4,116324.03772
8308,1,5.1,5.5,4,14.6,86.5,83.8,"Melbourne Price",86.5,2,0,2,2,2,5.5,1.5,2,2,5,3,2,6,1,1,2,2,10,3,7,8,4,4,4,2,2,40,46.5,12,25.5,9,1,0.980769230769231,0.818181818181818,0.784313725490196,0.138728323699422,0.294797687861272,0.104046242774566,0.46242774566474,1,1,1,0.916666666666667,1,1,1,0,1,1,1,0.023121387283237,0.115606936416185,0.023121387283237,0.0635838150289017,0.069364161849711,0.092485549132948,0.046242774566474,0,0.023121387283237,0.023121387283237,0.0578034682080925,"David Easey",6,113812.56309
8309,1,10,5,2.8,17.8,76,78.6,"Melbourne Price",76,2,0,0,0,1,4.5,1.5,2,1,4,2,2,4,1,1,0,2,6,3,3,8,4,4,4,2,2,42.5,33.5,8,21.5,4,0.666666666666667,0.826923076923077,0.363636363636364,0.833333333333333,0.105263157894737,0.282894736842105,0.0526315789473684,0.559210526315789,1,0.6,1,0.75,0.666666666666667,1,1,0,0,0,0.8,0.0263157894736842,0.0789473684210526,0.0263157894736842,0.0592105263157895,0.0526315789473684,0.105263157894737,0.0526315789473684,0,0,0,0.0526315789473684,"Ben Hines",4,124449.59465
8310,0,8.9,3.5,2.7,15.1,71,71.9,"Melbourne Price",71,2,2,2,0,2,4.5,1.5,1.5,1.5,3,1,2,6,1,1,2,2,6,3,3,8,4,4,1,1,0,34.5,36.5,8,21.5,7,0.666666666666667,0.826923076923077,0.636363636363636,0.676470588235294,0.112676056338028,0.302816901408451,0.0985915492957746,0.485915492957746,1,0.6,1,0.75,1,1,0.25,1,1,0,0.6,0.028169014084507,0.0845070422535211,0.028169014084507,0.0633802816901408,0.0845070422535211,0.112676056338028,0.0140845070422535,0.028169014084507,0.028169014084507,0,0.0422535211267606,"Tom",6,131005.17273
